name,link,networks
cronos,https://coinmarketcap.com//currencies/cronos/,"{'etherscan': 'https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b', 'ethplorer': 'https://ethplorer.io/address/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b', 'blockchair': 'https://blockchair.com/ethereum/erc-20/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b', 'eth': 'https://eth.tokenview.com/en/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b', 'crypto': 'https://crypto.org/explorer/'}"
trueusd,https://coinmarketcap.com//currencies/trueusd/,"{'etherscan': 'https://etherscan.io/token/0x0000000000085d4780B73119b644AE5ecd22b376', 'explorer': 'https://explorer.binance.org/asset/TUSDB-888', 'bscscan': 'https://bscscan.com/token/0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9', 'tronscan': 'https://tronscan.org/#/token20/TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4', 'snowtrace': 'https://snowtrace.io/token/0x1c20e891bab6b1727d14da358fae2984ed9b59eb'}"
filecoin,https://coinmarketcap.com//currencies/filecoin/,"{'filfox': 'https://filfox.io/en?utm_source=cmc', 'bscscan': 'https://bscscan.com/token/0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153'}"
hedera,https://coinmarketcap.com//currencies/hedera/,"{'app': 'https://app.metrika.co/hedera/dashboard/network-overview?tr=1d', 'ledger': 'https://ledger.hashlog.io/'}"
near protocol,https://coinmarketcap.com//currencies/near-protocol/,"{'explorer': 'https://explorer.near.org/', 'nearblocks': 'https://nearblocks.io/', 'bscscan': 'https://bscscan.com/token/0x1fa4a73a3f0133f0025378af00236f3abdee5d63', 'getblock': 'https://getblock.io/explorers/near/', 'hubble': 'https://hubble.figment.io/near/chains/mainnet'}"
internet computer,https://coinmarketcap.com//currencies/internet-computer/,"{'dashboard': 'https://dashboard.internetcomputer.org/', 'www': 'https://www.icpexplorer.org/#/', 'icscan': 'https://icscan.io/'}"
aptos,https://coinmarketcap.com//currencies/aptos/,"{'explorer': 'https://explorer.aptoslabs.com/', 'aptoscan': 'https://aptoscan.com/', 'tracemove': 'https://tracemove.io/coin/0x1::aptos_coin::AptosCoin', 'apscan': 'https://apscan.io/', 'source_code"":': 'source_code"":'}"
immutable x,https://coinmarketcap.com//currencies/immutable-x/,"{'etherscan': 'https://etherscan.io/token/0xf57e7e7c23978c3caec3c3548e3d615c346e79ff', 'www': 'https://www.oklink.com/cn/eth/token/0xf57e7e7c23978c3caec3c3548e3d615c346e79ff', 'source_code"":': 'source_code"":'}"
thorchain,https://coinmarketcap.com//currencies/thorchain/,"{'viewblock': 'https://viewblock.io/thorchain', 'thorchain': 'https://thorchain.net/', 'gitlab': 'https://gitlab.com/thorchain/'}"
lido dao,https://coinmarketcap.com//currencies/lido-dao/,"{'etherscan': 'https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32', 'www': 'https://www.oklink.com/eth/token/0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32', 'explorer': 'https://explorer.solana.com/address/HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p', 'bscscan': 'https://bscscan.com/token/0x986854779804799C1d68867F5E03e601E781e41b'}"
vechain,https://coinmarketcap.com//currencies/vechain/,"{'vechainstats': 'https://vechainstats.com', 'seevechain': 'https://seevechain.com/', 'www': 'https://www.veblocks.net/'}"
mantle,https://coinmarketcap.com//currencies/mantle/,{'explorer': 'https://explorer.mantle.xyz/'}
optimism ethereum,https://coinmarketcap.com//currencies/optimism-ethereum/,{'optimistic': 'https://optimistic.etherscan.io/token/0x4200000000000000000000000000000000000042'}
algorand,https://coinmarketcap.com//currencies/algorand/,"{'algoexplorer': 'https://algoexplorer.io/', 'algoscan': 'https://algoscan.app/'}"
